threshold,f1
0.1,0.5042735042735043
0.1163265306122449,0.5175438596491229
0.1326530612244898,0.5155555555555555
0.1489795918367347,0.5209302325581395
0.1653061224489796,0.5238095238095238
0.1816326530612245,0.5294117647058824
0.1979591836734694,0.54
0.2142857142857143,0.5538461538461539
0.2306122448979592,0.5625
0.2469387755102041,0.5714285714285714
0.263265306122449,0.5760869565217391
0.2795918367346939,0.6091954022988506
0.29591836734693877,0.6071428571428571
0.3122448979591837,0.6024096385542169
0.3285714285714286,0.6060606060606061
0.3448979591836735,0.6134969325153374
0.36122448979591837,0.620253164556962
0.37755102040816324,0.6193548387096774
0.3938775510204082,0.6308724832214765
0.4102040816326531,0.6527777777777778
0.42653061224489797,0.6527777777777778
0.44285714285714284,0.6571428571428571
0.4591836734693878,0.6376811594202898
0.4755102040816327,0.6518518518518519
0.49183673469387756,0.6466165413533834
0.5081632653061224,0.6451612903225806
0.5244897959183674,0.6218487394957983
0.5408163265306123,0.6324786324786325
0.5571428571428572,0.6017699115044248
0.573469387755102,0.5892857142857143
0.589795918367347,0.5740740740740741
0.6061224489795919,0.5794392523364486
0.6224489795918368,0.5769230769230769
0.6387755102040816,0.5686274509803921
0.6551020408163265,0.5454545454545454
0.6714285714285715,0.5208333333333334
0.6877551020408164,0.5052631578947369
0.7040816326530612,0.4235294117647059
0.7204081632653062,0.36585365853658536
0.7367346938775511,0.35
0.753061224489796,0.33766233766233766
0.7693877551020408,0.2702702702702703
0.7857142857142857,0.25
0.8020408163265307,0.2
0.8183673469387756,0.17647058823529413
0.8346938775510204,0.15384615384615385
0.8510204081632654,0.09523809523809523
0.8673469387755103,0.09523809523809523
0.8836734693877552,0.03278688524590164
0.9,0.03278688524590164
