model,accuracy,precision,recall,f1
Logistic Regression + SMOTE,0.7210000000000001,0.5286977739892367,0.7033333333333334,0.601509739246476
Random Forest + SMOTE,0.758,0.636831641220388,0.47000000000000003,0.5385585273521846
Soft Voting Ensemble,0.744,0.5711318535162214,0.6266666666666667,0.594596307011001
